timestamp_pc,seq,ms_arduino,temperatura_c,vibracao_rms_v,corrente_primario_a,corrente_secundario_a,adc_ntc,adc_vibracao,adc_sct_primario,adc_sct_secundario,alarme_geral,alarme_temperatura,alarme_vibracao,alarme_primario,alarme_secundario,diagnostico_arduino,diagnostico_python,fft_120hz,fft_240hz
2026-05-25T00:42:07.238,,65866,,,,,,,,,,amarelo,verde,verde,verde,"['Temperatura elevada. Verificar ventilacao, carga e isolamento termico.']",Operacao normal dentro dos limites simulados.,0.0,0.0
2026-05-25T00:42:08.945,,67231,,,,,,,,,,amarelo,verde,verde,verde,"['Temperatura elevada. Verificar ventilacao, carga e isolamento termico.']",Operacao normal dentro dos limites simulados.,0.0,0.0
2026-05-25T00:42:10.656,,68595,,,,,,,,,,amarelo,verde,verde,verde,"['Temperatura elevada. Verificar ventilacao, carga e isolamento termico.']",Operacao normal dentro dos limites simulados.,0.0,0.0
2026-05-25T00:42:12.368,,69960,,,,,,,,,,amarelo,verde,verde,verde,"['Temperatura elevada. Verificar ventilacao, carga e isolamento termico.']",Operacao normal dentro dos limites simulados.,0.0,0.0
2026-05-25T00:42:14.073,,71324,,,,,,,,,,amarelo,verde,verde,verde,"['Temperatura elevada. Verificar ventilacao, carga e isolamento termico.']",Operacao normal dentro dos limites simulados.,0.0,0.0
2026-05-25T00:42:15.782,,72689,,,,,,,,,,amarelo,verde,verde,verde,"['Temperatura elevada. Verificar ventilacao, carga e isolamento termico.']",Operacao normal dentro dos limites simulados.,0.0,0.0
2026-05-25T00:42:17.479,,74053,,,,,,,,,,amarelo,verde,verde,verde,"['Temperatura elevada. Verificar ventilacao, carga e isolamento termico.']",Operacao normal dentro dos limites simulados.,0.0,0.0
2026-05-25T00:42:19.199,,75418,,,,,,,,,,amarelo,verde,verde,verde,"['Temperatura elevada. Verificar ventilacao, carga e isolamento termico.']",Operacao normal dentro dos limites simulados.,0.0,0.0
2026-05-25T00:42:20.907,,76782,,,,,,,,,,amarelo,verde,verde,verde,"['Temperatura elevada. Verificar ventilacao, carga e isolamento termico.']",Operacao normal dentro dos limites simulados.,0.0,0.0
2026-05-25T00:42:22.656,,78147,,,,,,,,,,amarelo,verde,verde,verde,"['Temperatura elevada. Verificar ventilacao, carga e isolamento termico.']",Operacao normal dentro dos limites simulados.,0.0,0.0
2026-05-25T00:42:24.874,,79511,,,,,,,,,,amarelo,verde,verde,verde,"['Temperatura elevada. Verificar ventilacao, carga e isolamento termico.']",Operacao normal dentro dos limites simulados.,0.0,0.0
2026-05-25T00:42:30.333,,1885,,,,,,,,,,verde,verde,verde,verde,['Operacao normal dentro dos limites simulados.'],Operacao normal dentro dos limites simulados.,0.0,0.0
2026-05-25T00:42:32.033,,3220,,,,,,,,,,verde,verde,verde,verde,['Operacao normal dentro dos limites simulados.'],Operacao normal dentro dos limites simulados.,0.0,0.0
